GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Polygonum lapathifolium;Polygonum lapathifolium agg.;SPECIES;brak w tabeli dopasowań;;;
Polygonum lapathifolium subsp. brittingeri;Polygonum lapathifolium ssp. brittingeri;SUBSPECIES;brak w tabeli dopasowań;;;
Polygonum lapathifolium subsp. lapathifolium;Polygonum lapathifolium ssp. lapathifolium;SUBSPECIES;brak w tabeli dopasowań;;;
Polygonum lapathifolium subsp. pallidum;Polygonum lapathifolium ssp. pallidum;SUBSPECIES;brak w tabeli dopasowań;;;
Polygonum minus;Polygonum minus;SPECIES;brak w tabeli dopasowań;;;
Polygonum mite;Polygonum mite;SPECIES;brak w tabeli dopasowań;;;
Polygonum viviparum;Polygonum viviparum;SPECIES;dopasowanie ALTERNATYWA;2889299;;
Polystichum aculeatum;Polystichum aculeatum;SPECIES;dopasowanie ALTERNATYWA;7319269;;
Polystichum braunii;Polystichum braunii;SPECIES;dopasowanie ALTERNATYWA;2651092;;
Polystichum lonchitis;Polystichum lonchitis;SPECIES;dopasowanie ALTERNATYWA;2651113;;
Populus euramericana;Populus × euramericana;SPECIES;brak w tabeli dopasowań;;;
Potamogeton cripus;Potamogeton cripus;SPECIES;dopasowanie ALTERNATYWA;5301162;;
Potamogeton crispus;Potamogeton crispus;SPECIES;dopasowanie ALTERNATYWA;5301162;;
Potamogeton pertoliatus;Potamogeton pertoliatus;SPECIES;dopasowanie ALTERNATYWA;5301200;;
Potamogeton zizii;Potamogeton x zizii;SPECIES;dopasowanie ALTERNATYWA;5301140;;
Potentilla anserina;Potentilla anserina;SPECIES;brak w tabeli dopasowań;;;
Potentilla arenaria;Potentilla arenaria;SPECIES;brak w tabeli dopasowań;;;
Potentilla heptaphulla;Potentilla heptaphulla;SPECIES;dopasowanie ALTERNATYWA;5366112;;
Potentilla heptaphylla;Potentilla heptaphylla;SPECIES;dopasowanie ALTERNATYWA;5366112;;
Potentilla impolita;Potentilla impolita;SPECIES;brak w tabeli dopasowań;;;
Potentilla ilinata;Potentilla incilinata;SPECIES;dopasowanie ALTERNATYWA;5365888;;
Potentilla neumanniana;Potentilla neumanniana;SPECIES;brak w tabeli dopasowań;;;
Potentilla rupestris;Potentilla rupestris;SPECIES;dopasowanie ALTERNATYWA;5364370;;
Pteridium aquillinum;Pteridium aquillinum;SPECIES;dopasowanie ALTERNATYWA;5275012;;
Pulsatilla alba;Pulsatilla alba;SPECIES;brak w tabeli dopasowań;;;
Pulsatilla slavica;Pulsatilla slavica;SPECIES;brak w tabeli dopasowań;;;
Pyrola chloranytha;Pyrola chloranytha;SPECIES;dopasowanie ALTERNATYWA;2888276;;
Ranunculus;Ranunculus;GENUS;dopasowanie RODZAJ_OK;3033294;;
Ranunculus nemorosus;Ranunculus nemorosus;SPECIES;dopasowanie ALTERNATYWA;3033263;;
Ranunculus scelaretus;Ranunculus scelaretus;SPECIES;dopasowanie ALTERNATYWA;3033374;;
Ranunculus sceleratus;Ranunculus sceleratus;SPECIES;dopasowanie ALTERNATYWA;3033374;;
Ranunculus strigulosus;Ranunculus strigulosus;SPECIES;brak w tabeli dopasowań;;;
Rhamnus catharticus;Rhamnus catharticus;SPECIES;dopasowanie ALTERNATYWA;3039491;;
Rhinanthus alpinus;Rhinanthus alpinus;SPECIES;brak w tabeli dopasowań;;;
Rhytidiadelphus triquetrus;Rhytidiadelphus triquetrus;SPECIES;brak w tabeli dopasowań;;;
Ribes spictatum;Ribes spictatum;SPECIES;dopasowanie ALTERNATYWA;2986129;;
Rosa mocrantha;Rosa mocrantha;SPECIES;dopasowanie ALTERNATYWA;3002154;;
Rubus glandulosus;Rubus glandulosus;SPECIES;brak w tabeli dopasowań;;;
Rubus grabowski;Rubus grabowski;SPECIES;dopasowanie ALTERNATYWA;8181078;;
Rubus hitrus;Rubus hitrus s.l.;SPECIES;dopasowanie ALTERNATYWA;2989697;;
