POZIOM;NAZWA_LAT;NAZWA_PL;PROG_5;GRUPA_STAWKI;GRUPA_KRZEWY;POMNIK_130;ZWOLN_130;OWOCOWE;IGO;OCHRONA;ZRODLO;WERYFIKACJA
gatunek;Daphne mezereum;wawrzynek wilczełyko;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Rhododendron luteum;różanecznik żółty;50;5;;;80;;;scisla;1409;(1)(2)(3) - zakaz przemieszczania
gatunek;Chamaedaphne calyculata;chamedafne północna;50;5;;;80;;;scisla;1409;jeden odczyt, sprawdzić
gatunek;Arctostaphylos uva-ursi;mącznica lekarska;50;5;;;80;;;scisla;1409;
gatunek;Erica tetralix;wrzosiec bagienny;50;5;;;80;;;scisla;1409;bez odstępstwa (3)
gatunek;Rubus chamaemorus;malina moroszka;50;5;;;80;;;scisla;1409;jeden odczyt, sprawdzić
gatunek;Rhododendron tomentosum;bagno zwyczajne;50;5;;;80;;;czesciowa;1409;akt może używać nazwy Ledum palustre
gatunek;Empetrum nigrum;bażyna czarna;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Andromeda polifolia;modrzewnica zwyczajna;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Linnaea borealis;zimoziół północny;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Lonicera periclymenum;wiciokrzew pomorski;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Cerasus fruticosa;wiśnia karłowata;50;5;;;80;;;czesciowa;1409;zał.2 - źródło wtórne, sprawdzić
gatunek;Cornus sericea;dereń rozłogowy;50;5;1;;80;;;;1330;krzewy: grupa 1 (10 zł/m2)
gatunek;Rosa rugosa;róża pomarszczona;50;5;1;;80;;;;1330;krzewy: grupa 1 (10 zł/m2)
gatunek;Spiraea tomentosa;tawuła kutnerowata;50;5;1;;80;;;;1330;krzewy: grupa 1 (10 zł/m2)
gatunek;Amelanchier spicata;świdośliwa kłosowa;50;5;1;;80;;;;1330;krzewy: grupa 1 (10 zł/m2)
gatunek;Ailanthus altissima;bożodrzew gruczołowaty;50;5;;;80;;UE_szeroka;;2649;zał.1 lp. 71
gatunek;Celastrus orbiculatus;dławisz okrągłolistny;50;5;;;80;;UE_szeroka;;2649;zał.1 lp. 72, stosowanie od 2.08.2027
gatunek;Heracleum mantegazzianum;barszcz Mantegazziego;;;;;;;UE_szeroka;;2649;zał.1 lp. 69
gatunek;Heracleum sosnowskyi;barszcz Sosnowskiego;;;;;;;UE_szeroka;;2649;zał.1 lp. 70
gatunek;Impatiens glandulifera;niecierpek gruczołowaty;;;;;;;UE_szeroka;;2649;zał.1 lp. 74
gatunek;Asclepias syriaca;trojeść amerykańska;;;;;;;UE_szeroka;;2649;zał.1 lp. 76
gatunek;Koenigia polystachya;rdest wielokłosowy;;;;;;;UE_szeroka;;2649;zał.1 lp. 75
gatunek;Elodea nuttallii;moczarka delikatna;;;;;;;UE_szeroka;;2649;zał.1 lp. 73
gatunek;Reynoutria japonica;rdestowiec japoński;;;;;;;PL_szeroka;;2649;zał.2 lp. 15 — UE 2025/1422 - decyzja: trzymamy krajową
gatunek;Reynoutria sachalinensis;rdestowiec sachaliński;;;;;;;PL_szeroka;;2649;zał.2 lp. 16 — UE 2025/1422 - decyzja: trzymamy krajową
gatunek;Reynoutria bohemica;rdestowiec czeski;;;;;;;PL_szeroka;;2649;zał.2 lp. 14 — UE 2025/1422 - decyzja: trzymamy krajową
gatunek;Echinocystis lobata;kolczurka klapowana;;;;;;;PL_szeroka;;2649;zał.2 lp. 12
gatunek;Impatiens capensis;niecierpek pomarańczowy;;;;;;;PL_szeroka;;2649;zał.2 lp. 13
gatunek;Ulex europaeus;kolcolist zachodni;50;5;;;80;;PL_szeroka;;2649;zał.2 lp. 11
gatunek;Azolla filiculoides;azolla drobna;;;;;;;PL_szeroka;;2649;zał.2 lp. 10
gatunek;Prunus serotina;czeremcha amerykańska;50;5;;;80;;;;1330;inwazyjna przyrodniczo, bez statusu prawnego IGO
