GRUPA,MD5,ROZMIAR,SCIEZKA,MTIME
89,ef637565f3a129ab572ffe7a3b0ffa96,479017,/home/piotr/Pobrane/Plan_de_Varsovie_dédié_à_[...]Ricaud_de_btv1b530391192_1(1).jpeg,2025-11-05 18:33:51
89,ef637565f3a129ab572ffe7a3b0ffa96,479017,/home/piotr/Pobrane/Plan_de_Varsovie_dédié_à_[...]Ricaud_de_btv1b530391192_1.jpeg,2025-11-05 18:33:51
90,19d0d8cd9a199586cad3a614ee969bfb,452070,"/home/piotr/Pobrane/Plan der Casimir-Kasernen, Warschau, Detail | Digitalisierung: Deutsche Fotothek | Datenpartner: Deutsche Fotothek | Lizenz: http:⁄⁄creativecommons.org⁄publicdomain⁄mark⁄1.0⁄ | URL: https:⁄⁄www.deutsche-digitale-bibliothek.de⁄item.jpeg",2025-11-03 20:42:34
90,19d0d8cd9a199586cad3a614ee969bfb,452070,/home/piotr/Pobrane/default(2).jpeg,2025-11-03 20:41:53
91,50cd18566aaa6d9936dc0b54e522f7dd,434087,/home/piotr/Pobrane/KUTE (1).png,2026-02-16 15:07:42
91,50cd18566aaa6d9936dc0b54e522f7dd,434087,/home/piotr/Pobrane/KUTE.png,2026-02-16 15:06:21
92,acac1a2eb9b1bcac9dfe8226a413e7b6,431341,/home/piotr/Pobrane/default(1).jpeg,2025-11-03 20:40:14
92,acac1a2eb9b1bcac9dfe8226a413e7b6,431341,/home/piotr/Pobrane/default.jpeg,2025-11-03 20:40:08
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi (1).png,2026-01-15 16:58:08
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi (2).png,2026-01-20 08:21:43
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi (3).png,2026-02-06 11:48:05
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi (4).png,2026-02-16 18:35:00
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi (5).png,2026-02-16 18:35:37
93,ca0030fdd74cb6d84c7de9e90a232da6,415219,/home/piotr/Pobrane/- obraz mapy z NMT z  warstwicami z niego otrzymanymi.png,2026-01-15 15:29:53
94,25e40097ecaa3b67f5203d9dbb7a81ab,394156,/home/piotr/Pobrane/Fig6_environmentality_EN (1).png,2026-07-17 14:03:10
94,25e40097ecaa3b67f5203d9dbb7a81ab,394156,/home/piotr/Pobrane/Fig6_environmentality_EN.png,2026-07-17 13:56:13
95,d25a38067f2f6077348ead42ff13c700,380696,/home/piotr/Pobrane/proximity_preview (1).png,2026-06-25 11:40:00
95,d25a38067f2f6077348ead42ff13c700,380696,/home/piotr/Pobrane/proximity_preview (2).png,2026-06-25 12:04:43
96,acebc007ed3e4eb6c869c2c3eefeddbe,206501,/home/piotr/Pobrane/zrzut (1).png,2026-04-08 10:10:30
96,acebc007ed3e4eb6c869c2c3eefeddbe,206501,/home/piotr/Pobrane/zrzut.png,2026-03-04 10:25:49
97,0f6aa3c149715ab4773db452f0f743cc,157649,/home/piotr/Pobrane/out (1).tif,2026-05-07 15:33:23
97,0f6aa3c149715ab4773db452f0f743cc,157649,/home/piotr/Pobrane/out (2).tif,2026-05-07 15:33:39
97,0f6aa3c149715ab4773db452f0f743cc,157649,/home/piotr/Pobrane/out (3).tif,2026-05-07 15:34:09
97,0f6aa3c149715ab4773db452f0f743cc,157649,/home/piotr/Pobrane/out (4).tif,2026-05-07 15:35:10
98,dabc8ab0d83e179e501ba3921d293734,155042,/home/piotr/Pobrane/1000032108 (1).jpg,2026-04-08 17:26:23
98,dabc8ab0d83e179e501ba3921d293734,155042,/home/piotr/Pobrane/1000032108.jpg,2026-04-08 17:26:09
99,58b821b2d667b9aa2d5e42625e257045,152774,/home/piotr/Pobrane/fig7_walidacja_1962 (1).pdf.png,2026-07-20 15:52:08
99,58b821b2d667b9aa2d5e42625e257045,152774,/home/piotr/Pobrane/fig7_walidacja_1962 (1).png,2026-07-20 15:52:08
99,58b821b2d667b9aa2d5e42625e257045,152774,/home/piotr/Pobrane/fig7_walidacja_1962.png,2026-07-20 15:41:37
100,1519c221769a1738c11f8fc684b7a2d7,151238,/home/piotr/Pobrane/sasiedzi_interakcja (1).png,2026-07-12 22:00:19
100,1519c221769a1738c11f8fc684b7a2d7,151238,/home/piotr/Pobrane/sasiedzi_interakcja.png,2026-06-15 18:57:24
101,da0bf7fcdbb074cec69a191b84b1537b,117706,/home/piotr/Pobrane/Zrzut ekranu 2026-03-11 104316 (1).png,2026-04-08 10:09:23
101,da0bf7fcdbb074cec69a191b84b1537b,117706,/home/piotr/Pobrane/Zrzut ekranu 2026-03-11 104316.png,2026-04-08 10:08:36
102,de49c645299a8a537dd0047f0a5cf83f,117561,/home/piotr/Pobrane/O Panie Ty nam dajesz 2 (1).png,2026-03-29 21:01:34
102,de49c645299a8a537dd0047f0a5cf83f,117561,/home/piotr/Pobrane/O Panie Ty nam dajesz 2 (2).png,2026-03-29 21:01:34
102,de49c645299a8a537dd0047f0a5cf83f,117561,/home/piotr/Pobrane/O Panie Ty nam dajesz 2.png,2026-03-29 21:01:34
103,e345d0869768a1e27a1d1426940b8dd3,99227,/home/piotr/Pobrane/autocad Mieszko Rak (1).png,2026-04-08 10:08:54
103,e345d0869768a1e27a1d1426940b8dd3,99227,/home/piotr/Pobrane/autocad Mieszko Rak.png,2026-04-08 10:07:51
104,a2b088c917590ccc7b36bc30e28dc5e2,83719,/home/piotr/Pobrane/Messenger_creation_72BECBFF-2C05-4DC6-B980-65C476E99C27-2.jpeg,2026-03-15 17:30:44
104,a2b088c917590ccc7b36bc30e28dc5e2,83719,/home/piotr/Pobrane/Messenger_creation_72BECBFF-2C05-4DC6-B980-65C476E99C27.jpeg,2026-03-15 17:29:49
105,943153f345033779ff4579505765e738,83700,/home/piotr/Pobrane/example_resolution_curves (1).png,2026-06-30 20:14:20
105,943153f345033779ff4579505765e738,83700,/home/piotr/Pobrane/example_resolution_curves.png,2026-06-30 18:30:02
106,cdbac7d1f66c6f0aa90f6eb251cded47,40444,/home/piotr/Pobrane/example_distal_field_heatmap (1).png,2026-06-30 20:48:08
106,cdbac7d1f66c6f0aa90f6eb251cded47,40444,/home/piotr/Pobrane/example_distal_field_heatmap.png,2026-06-30 20:48:07
107,e1b0d671cff66ee0cfc5fb5fd5eb47bf,13516,/home/piotr/Pobrane/412-0223 (1).tif,2026-02-04 10:00:05
107,e1b0d671cff66ee0cfc5fb5fd5eb47bf,13516,/home/piotr/Pobrane/412-0223 (2).tif,2026-02-05 12:22:16
107,e1b0d671cff66ee0cfc5fb5fd5eb47bf,13516,/home/piotr/Pobrane/412-0223 (3).tif,2026-02-06 11:57:56
107,e1b0d671cff66ee0cfc5fb5fd5eb47bf,13516,/home/piotr/Pobrane/412-0223.tif,2026-01-27 17:47:02
